house,district,name,party_aff,perc_outside_mps,est_lost_funding,perc_district_area_in_mke,perc_students_in_mke
Senate,3,Tim Carpenter,D,0.475608780305657,"$76,213,968",0.72,0.9273100514444005
Senate,4,Dora Drake,D,0.49542253521126756,"$54,121,662",0.81,0.8574591566305478
Senate,5,Rob Hutton,R,0.6717191862784204,"$7,197,416",0.02,0.09499450570270168
Senate,6,La Tonya Johnson,D,0.43263153813345745,"$47,689,292",0.92,0.9765988867431558
Senate,7,Chris Larson,D,0.15354185832566702,"$7,133,306",0.29,0.4556696709285265
Senate,21,Van H. Wanggaard,R,0.3649328859060402,"$1,859,190",0.01,0.04497604044825114
Assembly,7,Karen Kirsch,D,0.1668621013133208,"$6,081,902",0.48,0.7867884491189224
Assembly,8,Sylvia Ortiz-Velez,D,0.6122178658471973,"$49,386,070",1,1
Assembly,9,Priscilla Prado,D,0.48102269348924787,"$20,745,996",0.87,0.9414124451907827
Assembly,10,Darrin Madison,D,0.4981112637362637,"$12,398,874",0.38,0.5933170334148329
Assembly,11,Sequanna Taylor,D,0.4121017187657051,"$17,523,400",1,1
Assembly,12,"Russell Antonio Goodwin, Sr",D,0.5785225298865843,"$24,199,388",0.95,0.9744125846276384
Assembly,14,Angelito Tenorio,D,0.6060315940641455,"$5,410,884",0.17,0.2698617749644749
Assembly,16,Kalan Haywood,D,0.4333598567734235,"$18,621,818",1,1
Assembly,17,Supreme Moore Omokunde,D,0.34932684044686335,"$10,424,286",1,1
Assembly,18,Margaret Arney,D,0.498229583095374,"$18,643,188",0.75,0.9340659340659341
Assembly,19,Ryan Clancy,D,0.21614878657291903,"$4,073,122",1,1
Assembly,20,Christine Sinicki,D,0.11119691119691122,"$1,846,368",0.12,0.3771112405358183
Assembly,21,Jessie Rodriguez,R,0.11024844720496896,"$1,213,816",0.23,0.28171478565179353
Assembly,61,Bob Donovan,R,0.3601014370245139,"$1,820,724",0.11,0.14011607248608315
