School Year,School Name,Sector,CFC Score,CFC Rating
2022-23,Saint Thomas Aquinas Academy,Private,93,Significantly Exceeds Expectations
2022-23,Nativity Jesuit Academy,Private,85.3,Significantly Exceeds Expectations
2022-23,Saint John's Lutheran School,Private,84.2,Significantly Exceeds Expectations
2022-23,Saint Roman Parish School,Private,81.9,Exceeds Expectations
2022-23,Saint Sebastian School,Private,81,Exceeds Expectations
2022-23,Marquette University High School,Private,80.2,Exceeds Expectations
2022-23,Saint Charles Borromeo Catholic School,Private,79.7,Exceeds Expectations
2022-23,Mount Lebanon Lutheran School,Private,79.6,Exceeds Expectations
2022-23,Yeshiva Elementary School,Private,79.1,Exceeds Expectations
2022-23,Saint Gregory the Great Parish School,Private,79,Exceeds Expectations
2022-23,New Testament Christian Academy,Private,78.2,Exceeds Expectations
2022-23,Divine Savior Holy Angels High School,Private,78,Exceeds Expectations
2022-23,Saint Lucas Lutheran School,Private,75.6,Exceeds Expectations
2022-23,Catholic East Elementary,Private,75.4,Exceeds Expectations
2022-23,Saint Augustine Preparatory Academy,Private,74.8,Exceeds Expectations
2022-23,Garden Homes Lutheran School,Private,74.1,Exceeds Expectations
2022-23,Salam School,Private,73.8,Exceeds Expectations
2022-23,Risen Savior Lutheran School,Private,72.8,Exceeds Expectations
2022-23,Saint Marcus Lutheran School,Private,71.5,Exceeds Expectations
2022-23,Notre Dame School of Milwaukee,Private,71.2,Exceeds Expectations
2022-23,Mother of Good Counsel School,Private,70.2,Exceeds Expectations
2022-23,Saint Rafael the Archangel School,Private,70.1,Exceeds Expectations
2022-23,Prince of Peace,Private,69.8,Meets Expectations
2022-23,Northwest Lutheran School,Private,68.7,Meets Expectations
2022-23,Saint Vincent Pallotti Catholic School,Private,68.6,Meets Expectations
2022-23,Saint Matthias Parish School,Private,68.2,Meets Expectations
2022-23,Mount Olive Christian Day School,Private,66.5,Meets Expectations
2022-23,Our Lady Queen of Peace,Private,65.2,Meets Expectations
