house,title,district,name,party_aff,official_phone,official_email,reviewed,needs_update,notes
City of Milwaukee,Mayor,City of Milwaukee,Cavalier Johnson,NA,414-286-2200,mayor@milwaukee.gov,,,
Milwaukee County,County Executive,Milwaukee County,David Crowley,NA,NA,NA,,,
MPS School Board,Director,1,Marva Herndon,NA,414-475-8284,governance@milwaukee.k12.wi.us,,,
MPS School Board,Director,2,Erika Siemsen,NA,414-475-8284,governance@milwaukee.k12.wi.us,,,
MPS School Board,Director,3,Darryl L. Jackson,NA,414-475-8284,governance@milwaukee.k12.wi.us,,,
MPS School Board,Director,4,James Ferguson,NA,414-475-8284,governance@milwaukee.k12.wi.us,,,
MPS School Board,Director,5,Christopher Fons,NA,414-475-8284,governance@milwaukee.k12.wi.us,,,
MPS School Board,Director,6,Mimi Reza,NA,414-475-8284,governance@milwaukee.k12.wi.us,,,
MPS School Board,Director,7,Kate Vannoy,NA,414-475-8284,governance@milwaukee.k12.wi.us,,,
MPS School Board,Director,8,Megan O'Halloran,NA,414-475-8284,governance@milwaukee.k12.wi.us,,,
MPS School Board,Director,At-Large,Missy Zombor,NA,414-475-8284,governance@milwaukee.k12.wi.us,,,
Common Council,Alderwoman,1,Andrea Pratt,NA,414-286-2228,aide1@milwaukee.gov,,,
Common Council,Alderman,2,Mark Chambers Jr.,NA,414-286-3787,Aide2@milwaukee.gov,,,
Common Council,Alderman,3,Alex Brower,NA,NA,NA,,,
Common Council,Alderman,4,Robert Bauman,NA,414-286-3774,rjbauma@milwaukee.gov,,,
Common Council,Alderman,5,Lamont T. Westmoreland,NA,414-286-2221,lamont.westmoreland@milwaukee.gov,,,
Common Council,Alderwoman,6,Milele A. Coggs,NA,414-286-2221,mcoggs@milwaukee.gov,,,
Common Council,Alderman,7,DiAndre Jackson,NA,414-286-2221,DiAndre.Jackson@milwaukee.gov,,,
Common Council,Alderwoman,8,JoCasta Zamarripa,NA,414-286-3533,JoCasta.Zamarripa@milwaukee.gov,,,
Common Council,Alderwoman,9,Larresa Taylor,NA,414-286-2221,Larresa.Taylor@milwaukee.gov,,,
Common Council,Alderman,10,Sharlene P. Moore,NA,414-286-3763,Sharlen.Moore@milwaukee.gov,,,
