house,district,name,perc_mps
MPS School Board,1,Marva Herndon,0.5513985391056476
MPS School Board,2,Erika Siemsen,0.4664548544406679
MPS School Board,3,Darryl L. Jackson,0.48752523213564797
MPS School Board,4,Aisha Carr,0.4605235747517534
MPS School Board,5,Jilly Gokalgandhi,0.7765742805564405
MPS School Board,6,Marcela (Xela) Garcia,0.4712960918525061
MPS School Board,7,Henry Leanard,0.5777682298060398
MPS School Board,8,Megan O'Halloran,0.729366920782234
MPS School Board,At-Large,Missy Zombor,0.5513733374286804
Common Council,1,Andrea Pratt,0.42243164871582434
Common Council,2,Mark Chambers Jr.,0.6156387665198237
Common Council,3,Jonathan Brostoff,0.8669275929549902
Common Council,4,Robert Bauman,0.3146709323583181
Common Council,5,Lamont T. Westmoreland,0.45591794398985824
Common Council,6,Milele A. Coggs,0.6870577830188679
Common Council,7,Khalif J. Rainey,0.6047100531780197
Common Council,8,JoCasta Zamarripa,0.46516264428121723
Common Council,9,Larresa Taylor,0.5209832134292566
Common Council,10,Michael J. Murphy,0.3362422997946612
Common Council,11,Mark A. Borkowski,0.8281417830290011
Common Council,12,José G. Pérez,0.48419950504473636
Common Council,13,Scott Spiker,0.672790294627383
Common Council,14,Marina Dimitrijevic,0.5423445974134334
Common Council,15,Russell W. Stamper,0.5994959456497918
Senate,1,André Jacque,NA
Senate,2,Robert Cowles,NA
Senate,3,Tim Carpenter,0.5417766051011433
Senate,4,Lena Taylor,0.4625304136253041
Senate,5,Rob Hutton,0.2742453436095055
Senate,6,La Tonya Johnson,0.5590004627487274
Senate,7,Chris Larson,0.8214548802946593
Senate,8,Alberta Darling,NA
Senate,9,Devin LeMahieu,NA
Senate,10,Rob Stafsholt,NA
Senate,11,Stephen Nass,NA
Senate,12,Mary Felzkowski,NA
Senate,13,John Jagler,NA
Senate,14,Joan Ballweg,NA
Senate,15,Mark Spreitzer,NA
Senate,16,Melissa Agard,NA
Senate,17,Howard Marklein,NA
Senate,18,Dan Feyen,NA
Senate,19,Rachael Cabral-Guevara,NA
Senate,20,Duey Stroebel,NA
Senate,21,Van H. Wanggaard,0.6345441067457376
Senate,22,Robert Wirch,NA
Senate,23,Jesse James,NA
Senate,24,Patrick Testin,NA
Senate,25,Romaine Quinn,NA
Senate,26,Kelda Roys,NA
Senate,27,Dianne Hesselbein,NA
Senate,28,Julian Bradley,NA
Senate,29,Cory Tomczyk,NA
Senate,30,Eric Wimberger,NA
Senate,31,Jeff Smith,NA
Senate,32,Brad Pfaff,NA
Senate,33,Chris Kapenga,NA
Assembly,1,Joel Kitchens,NA
Assembly,2,Shae Sortwell,NA
Assembly,3,Ron Tusler,NA
Assembly,4,David Steffen,NA
Assembly,5,Joy Goeben,NA
Assembly,6,Peter Schmidt,NA
Assembly,7,Daniel Riemer,0.842670671133187
Assembly,8,Sylvia Ortiz-Velez,0.4161171274729264
Assembly,9,Marisabel Cabrera,0.4893151774177517
Assembly,10,Darrin Madison,0.46771406127258447
Assembly,11,Dora Drake,0.5338325991189428
Assembly,12,LaKeshia Myers,0.3863410221619177
Assembly,13,Tom Michalski,0
Assembly,14,Robyn Vining,0.32129420617005267
Assembly,15,Dave Maxey,NA
Assembly,16,Kalan Haywood,0.5594336219336219
Assembly,17,Supreme Moore Omokunde,0.6620049666710234
